Epoch 0: PSNR=11.2432, SSIM=0.0953, Loss=0.1418
Epoch 1: PSNR=14.3323, SSIM=0.4066, Loss=0.1106
Epoch 2: PSNR=14.2289, SSIM=0.4754, Loss=0.0815
Epoch 3: PSNR=14.6596, SSIM=0.4676, Loss=0.0821
Epoch 4: PSNR=15.0047, SSIM=0.4447, Loss=0.0828
Epoch 5: PSNR=14.3882, SSIM=0.4524, Loss=0.0827
Epoch 6: PSNR=15.2015, SSIM=0.4483, Loss=0.0835
Epoch 7: PSNR=15.4035, SSIM=0.4619, Loss=0.0835
Epoch 8: PSNR=15.3515, SSIM=0.4392, Loss=0.0822
Epoch 9: PSNR=15.5482, SSIM=0.4728, Loss=0.0808
Epoch 10: PSNR=15.9558, SSIM=0.4697, Loss=0.0781
Epoch 11: PSNR=17.0200, SSIM=0.4562, Loss=0.0740
Epoch 12: PSNR=16.5567, SSIM=0.5241, Loss=0.0691
Epoch 13: PSNR=17.6340, SSIM=0.5639, Loss=0.0661
Epoch 14: PSNR=16.7315, SSIM=0.6101, Loss=0.0631
Epoch 15: PSNR=16.9208, SSIM=0.6345, Loss=0.0616
Epoch 16: PSNR=16.6752, SSIM=0.6443, Loss=0.0607
Epoch 17: PSNR=17.2998, SSIM=0.6575, Loss=0.0600
Epoch 18: PSNR=17.7595, SSIM=0.6690, Loss=0.0593
Epoch 19: PSNR=18.3682, SSIM=0.6766, Loss=0.0588
Epoch 20: PSNR=17.7073, SSIM=0.6765, Loss=0.0580
Epoch 21: PSNR=18.0243, SSIM=0.6851, Loss=0.0574
Epoch 22: PSNR=17.5217, SSIM=0.6844, Loss=0.0572
Epoch 23: PSNR=18.0959, SSIM=0.6956, Loss=0.0563
Epoch 24: PSNR=18.2509, SSIM=0.7010, Loss=0.0564
Epoch 25: PSNR=16.5796, SSIM=0.6855, Loss=0.0562
Epoch 26: PSNR=16.9393, SSIM=0.6942, Loss=0.0560
Epoch 27: PSNR=17.9260, SSIM=0.7099, Loss=0.0551
Epoch 28: PSNR=17.4094, SSIM=0.7073, Loss=0.0548
Epoch 29: PSNR=19.2292, SSIM=0.7298, Loss=0.0517
Epoch 30: PSNR=17.7732, SSIM=0.7229, Loss=0.0520
Epoch 31: PSNR=18.6267, SSIM=0.7350, Loss=0.0512
Epoch 32: PSNR=17.9845, SSIM=0.7317, Loss=0.0509
Epoch 33: PSNR=16.1836, SSIM=0.7091, Loss=0.0517
Epoch 34: PSNR=18.1739, SSIM=0.7392, Loss=0.0503
Epoch 35: PSNR=19.1022, SSIM=0.7506, Loss=0.0503
Epoch 36: PSNR=18.4291, SSIM=0.7457, Loss=0.0495
Epoch 37: PSNR=17.5985, SSIM=0.7374, Loss=0.0491
Epoch 38: PSNR=19.2627, SSIM=0.7572, Loss=0.0494
Epoch 39: PSNR=17.2163, SSIM=0.7346, Loss=0.0487
Epoch 40: PSNR=18.1581, SSIM=0.7480, Loss=0.0489
Epoch 41: PSNR=17.6519, SSIM=0.7421, Loss=0.0483
Epoch 42: PSNR=16.9671, SSIM=0.7346, Loss=0.0484
Epoch 43: PSNR=16.7107, SSIM=0.7311, Loss=0.0493
Epoch 44: PSNR=19.1995, SSIM=0.7633, Loss=0.0486
Epoch 45: PSNR=19.3121, SSIM=0.7647, Loss=0.0482
Epoch 46: PSNR=19.1934, SSIM=0.7639, Loss=0.0480
Epoch 47: PSNR=17.9746, SSIM=0.7511, Loss=0.0475
Epoch 48: PSNR=19.4655, SSIM=0.7683, Loss=0.0475
Epoch 49: PSNR=17.8007, SSIM=0.7495, Loss=0.0475
Epoch 50: PSNR=19.7919, SSIM=0.7732, Loss=0.0466
Epoch 51: PSNR=18.5017, SSIM=0.7593, Loss=0.0477
Epoch 52: PSNR=18.3506, SSIM=0.7564, Loss=0.0467
Epoch 53: PSNR=17.2967, SSIM=0.7450, Loss=0.0466
Epoch 54: PSNR=18.8010, SSIM=0.7631, Loss=0.0468
Epoch 55: PSNR=19.9260, SSIM=0.7762, Loss=0.0471
Epoch 56: PSNR=20.3028, SSIM=0.7798, Loss=0.0464
Epoch 57: PSNR=19.2876, SSIM=0.7711, Loss=0.0461
Epoch 58: PSNR=19.8553, SSIM=0.7768, Loss=0.0465
Epoch 59: PSNR=19.1667, SSIM=0.7697, Loss=0.0461
Epoch 60: PSNR=18.8630, SSIM=0.7665, Loss=0.0459
Epoch 61: PSNR=17.8264, SSIM=0.7547, Loss=0.0459
Epoch 62: PSNR=18.4843, SSIM=0.7633, Loss=0.0461
Epoch 63: PSNR=17.1279, SSIM=0.7465, Loss=0.0458
Epoch 64: PSNR=20.5469, SSIM=0.7840, Loss=0.0462
Epoch 65: PSNR=20.2636, SSIM=0.7843, Loss=0.0457
