epoch 0: SSIM=0.7802, PSNR=17.8468
epoch 1: SSIM=0.7833, PSNR=18.1486
epoch 2: SSIM=0.7786, PSNR=17.8241
epoch 3: SSIM=0.8163, PSNR=21.6689
epoch 4: SSIM=0.7813, PSNR=17.8200
epoch 5: SSIM=0.7717, PSNR=17.0548
epoch 6: SSIM=0.7614, PSNR=16.2203
epoch 7: SSIM=0.7746, PSNR=17.3274
epoch 8: SSIM=0.7998, PSNR=19.8204
epoch 9: SSIM=0.7873, PSNR=18.3254
epoch 10: SSIM=0.7845, PSNR=18.1282
epoch 11: SSIM=0.7548, PSNR=15.5977
epoch 12: SSIM=0.8082, PSNR=21.0249
epoch 13: SSIM=0.7910, PSNR=18.8805
epoch 14: SSIM=0.8016, PSNR=20.7009
epoch 15: SSIM=0.7788, PSNR=17.7573
epoch 16: SSIM=0.7805, PSNR=17.7179
epoch 17: SSIM=0.7872, PSNR=18.3576
epoch 18: SSIM=0.7866, PSNR=18.2960
epoch 19: SSIM=0.7933, PSNR=18.9478
epoch 20: SSIM=0.8005, PSNR=19.8850
epoch 21: SSIM=0.7910, PSNR=18.7357
epoch 22: SSIM=0.7917, PSNR=18.8065
epoch 23: SSIM=0.7905, PSNR=18.7173
epoch 24: SSIM=0.7909, PSNR=18.7678
epoch 25: SSIM=0.7901, PSNR=18.6718
