epoch 0: SSIM=0.8237, PSNR=23.4993
epoch 1: SSIM=0.8237, PSNR=23.4993
epoch 2: SSIM=0.8237, PSNR=23.4993
epoch 3: SSIM=0.8237, PSNR=23.4993
epoch 4: SSIM=0.8237, PSNR=23.4993
epoch 5: SSIM=0.8237, PSNR=23.4993
epoch 6: SSIM=0.8237, PSNR=23.4993
epoch 7: SSIM=0.8237, PSNR=23.4993
epoch 8: SSIM=0.8237, PSNR=23.4993
epoch 9: SSIM=0.8237, PSNR=23.4993
epoch 10: SSIM=0.8109, PSNR=21.5702
epoch 11: SSIM=0.7941, PSNR=19.5222
epoch 12: SSIM=0.7722, PSNR=18.4957
epoch 13: SSIM=0.8054, PSNR=20.5174
epoch 14: SSIM=0.8073, PSNR=21.3082
epoch 15: SSIM=0.7474, PSNR=15.4994
epoch 16: SSIM=0.8014, PSNR=20.7304
epoch 17: SSIM=0.7888, PSNR=19.0821
epoch 18: SSIM=0.7914, PSNR=19.3649
epoch 19: SSIM=0.8152, PSNR=22.2396
epoch 20: SSIM=0.7964, PSNR=20.1234
epoch 21: SSIM=0.8057, PSNR=21.4063
epoch 22: SSIM=0.7840, PSNR=18.6523
epoch 23: SSIM=0.8035, PSNR=21.0508
epoch 24: SSIM=0.7975, PSNR=20.6224
epoch 25: SSIM=0.7988, PSNR=20.5581
epoch 26: SSIM=0.7985, PSNR=20.3767
epoch 27: SSIM=0.8038, PSNR=21.3688
epoch 28: SSIM=0.8013, PSNR=20.8318
epoch 29: SSIM=0.8017, PSNR=20.8964
