Epoch 0: PSNR=13.8501, SSIM=0.2770, Loss=0.1256
Epoch 1: PSNR=14.9194, SSIM=0.4686, Loss=0.0921
Epoch 2: PSNR=14.1797, SSIM=0.4958, Loss=0.0935
Epoch 3: PSNR=14.4865, SSIM=0.5148, Loss=0.0989
Epoch 4: PSNR=14.4693, SSIM=0.5144, Loss=0.1071
Epoch 5: PSNR=15.4950, SSIM=0.5319, Loss=0.1142
Epoch 6: PSNR=14.7872, SSIM=0.5375, Loss=0.1195
Epoch 7: PSNR=16.5013, SSIM=0.5843, Loss=0.1189
Epoch 8: PSNR=16.7062, SSIM=0.6213, Loss=0.1175
Epoch 9: PSNR=14.3597, SSIM=0.6108, Loss=0.1191
Epoch 10: PSNR=17.1420, SSIM=0.6626, Loss=0.1218
Epoch 11: PSNR=15.4990, SSIM=0.6384, Loss=0.1201
Epoch 12: PSNR=14.5315, SSIM=0.6255, Loss=0.1186
Epoch 13: PSNR=18.6971, SSIM=0.6893, Loss=0.1202
Epoch 14: PSNR=18.6230, SSIM=0.6932, Loss=0.1180
Epoch 15: PSNR=17.0659, SSIM=0.6796, Loss=0.1191
Epoch 16: PSNR=18.4284, SSIM=0.7009, Loss=0.1192
Epoch 17: PSNR=16.8595, SSIM=0.6852, Loss=0.1209
Epoch 18: PSNR=19.2308, SSIM=0.7047, Loss=0.1136
Epoch 19: PSNR=18.1310, SSIM=0.6957, Loss=0.1091
Epoch 20: PSNR=18.9189, SSIM=0.7015, Loss=0.1080
Epoch 21: PSNR=18.3927, SSIM=0.6925, Loss=0.1080
Epoch 22: PSNR=19.4070, SSIM=0.6935, Loss=0.1051
Epoch 23: PSNR=18.3823, SSIM=0.6867, Loss=0.1030
Epoch 24: PSNR=19.2754, SSIM=0.6909, Loss=0.1018
Epoch 25: PSNR=18.7822, SSIM=0.6898, Loss=0.1013
Epoch 26: PSNR=18.3888, SSIM=0.6855, Loss=0.1009
Epoch 27: PSNR=19.4130, SSIM=0.6955, Loss=0.1013
Epoch 28: PSNR=18.3629, SSIM=0.6858, Loss=0.0995
Epoch 29: PSNR=18.3520, SSIM=0.6873, Loss=0.0988
Epoch 30: PSNR=17.4125, SSIM=0.6807, Loss=0.0985
Epoch 31: PSNR=19.7467, SSIM=0.6891, Loss=0.0977
Epoch 32: PSNR=20.2538, SSIM=0.7096, Loss=0.0959
Epoch 33: PSNR=18.6058, SSIM=0.7020, Loss=0.0971
Epoch 34: PSNR=18.9650, SSIM=0.7064, Loss=0.0955
Epoch 35: PSNR=18.0807, SSIM=0.7018, Loss=0.0949
Epoch 36: PSNR=19.6571, SSIM=0.7150, Loss=0.0944
Epoch 37: PSNR=20.2690, SSIM=0.7133, Loss=0.0923
Epoch 38: PSNR=19.2984, SSIM=0.7169, Loss=0.0936
Epoch 39: PSNR=20.1670, SSIM=0.7290, Loss=0.0939
Epoch 40: PSNR=21.0403, SSIM=0.7379, Loss=0.0917
Epoch 41: PSNR=20.6197, SSIM=0.7458, Loss=0.0905
Epoch 42: PSNR=19.5720, SSIM=0.7398, Loss=0.0920
Epoch 43: PSNR=20.3414, SSIM=0.7476, Loss=0.0903
Epoch 44: PSNR=18.8385, SSIM=0.7375, Loss=0.0906
Epoch 45: PSNR=19.7272, SSIM=0.7459, Loss=0.0932
Epoch 46: PSNR=20.0203, SSIM=0.7497, Loss=0.0917
Epoch 47: PSNR=20.7126, SSIM=0.7556, Loss=0.0930
Epoch 48: PSNR=18.3650, SSIM=0.7381, Loss=0.0906
Epoch 49: PSNR=20.2109, SSIM=0.7536, Loss=0.0916
Epoch 50: PSNR=21.3812, SSIM=0.7623, Loss=0.0923
Epoch 51: PSNR=19.3074, SSIM=0.7495, Loss=0.0946
Epoch 52: PSNR=19.9172, SSIM=0.7550, Loss=0.0959
Epoch 53: PSNR=21.4557, SSIM=0.7510, Loss=0.0955
Epoch 54: PSNR=19.1982, SSIM=0.7497, Loss=0.0944
Epoch 55: PSNR=20.7976, SSIM=0.7632, Loss=0.0947
Epoch 56: PSNR=18.7871, SSIM=0.7493, Loss=0.0957
Epoch 57: PSNR=21.4294, SSIM=0.7676, Loss=0.0955
