Epoch 0: SSIM=0.7650, PSNR=16.4161, Loss=0.0108, lambda_env=0.000
Epoch 1: SSIM=0.7987, PSNR=22.0631, Loss=0.0090, lambda_env=0.000
Epoch 2: SSIM=0.8069, PSNR=20.8806, Loss=0.0091, lambda_env=0.000
Epoch 3: SSIM=0.7756, PSNR=17.4996, Loss=0.0087, lambda_env=0.000
Epoch 4: SSIM=0.7368, PSNR=14.5467, Loss=0.0084, lambda_env=0.000
Epoch 5: SSIM=0.8101, PSNR=22.1786, Loss=0.0094, lambda_env=0.001
Epoch 6: SSIM=0.8085, PSNR=21.3420, Loss=0.0097, lambda_env=0.008
Epoch 7: SSIM=0.7902, PSNR=19.0469, Loss=0.0102, lambda_env=0.014
Epoch 8: SSIM=0.7668, PSNR=20.9958, Loss=0.0116, lambda_env=0.021
Epoch 9: SSIM=0.7457, PSNR=15.4718, Loss=0.0127, lambda_env=0.028
Epoch 10: SSIM=0.7598, PSNR=16.5209, Loss=0.0133, lambda_env=0.034
Epoch 11: SSIM=0.7610, PSNR=16.5679, Loss=0.0141, lambda_env=0.041
Epoch 12: SSIM=0.7550, PSNR=16.0872, Loss=0.0136, lambda_env=0.048
Epoch 13: SSIM=0.7962, PSNR=22.2343, Loss=0.0144, lambda_env=0.054
Epoch 14: SSIM=0.7965, PSNR=20.3366, Loss=0.0153, lambda_env=0.061
Epoch 15: SSIM=0.7583, PSNR=16.5921, Loss=0.0167, lambda_env=0.067
Epoch 16: SSIM=0.7328, PSNR=14.9391, Loss=0.0173, lambda_env=0.074
Epoch 17: SSIM=0.7464, PSNR=15.6566, Loss=0.0175, lambda_env=0.081
Epoch 18: SSIM=0.7987, PSNR=20.8602, Loss=0.0177, lambda_env=0.087
Epoch 19: SSIM=0.7889, PSNR=20.1886, Loss=0.0185, lambda_env=0.094
Epoch 20: SSIM=0.7616, PSNR=17.5618, Loss=0.0189, lambda_env=0.101
Epoch 21: SSIM=0.7476, PSNR=15.5670, Loss=0.0193, lambda_env=0.107
Epoch 22: SSIM=0.7682, PSNR=17.2278, Loss=0.0207, lambda_env=0.114
Epoch 23: SSIM=0.7696, PSNR=18.3042, Loss=0.0210, lambda_env=0.121
Epoch 24: SSIM=0.7714, PSNR=17.8107, Loss=0.0218, lambda_env=0.127
Epoch 25: SSIM=0.7693, PSNR=17.4506, Loss=0.0220, lambda_env=0.134
Epoch 26: SSIM=0.7509, PSNR=15.8190, Loss=0.0226, lambda_env=0.141
