epoch 0: SSIM=11.0702, PSNR=0.3265
epoch 1: SSIM=11.0969, PSNR=0.3343
epoch 2: SSIM=11.0920, PSNR=0.3350
epoch 3: SSIM=11.0306, PSNR=0.3394
epoch 4: SSIM=11.2470, PSNR=0.3324
epoch 5: SSIM=11.1461, PSNR=0.3497
epoch 6: SSIM=11.0081, PSNR=0.3573
epoch 7: SSIM=11.4810, PSNR=0.3792
epoch 8: SSIM=11.1490, PSNR=0.3674
epoch 9: SSIM=10.9195, PSNR=0.3693
epoch 10: SSIM=11.5654, PSNR=0.3830
epoch 11: SSIM=11.2854, PSNR=0.3889
epoch 12: SSIM=10.7564, PSNR=0.3774
epoch 13: SSIM=11.5550, PSNR=0.4045
epoch 14: SSIM=11.2801, PSNR=0.3891
epoch 15: SSIM=11.4812, PSNR=0.4043
epoch 16: SSIM=11.1908, PSNR=0.4018
epoch 17: SSIM=10.9377, PSNR=0.3892
epoch 18: SSIM=11.6400, PSNR=0.4056
epoch 19: SSIM=11.6810, PSNR=0.4171
epoch 20: SSIM=11.3840, PSNR=0.4157
epoch 21: SSIM=11.5288, PSNR=0.4188
epoch 22: SSIM=10.8294, PSNR=0.4030
epoch 23: SSIM=11.3361, PSNR=0.4160
