Epoch 59: PSNR=19.8368, SSIM=0.7179, Loss=0.1513
Epoch 60: PSNR=20.6580, SSIM=0.7307, Loss=0.1413
Epoch 61: PSNR=20.6400, SSIM=0.7308, Loss=0.1400
Epoch 62: PSNR=20.0489, SSIM=0.7316, Loss=0.1375
Epoch 63: PSNR=20.4468, SSIM=0.7360, Loss=0.1397
Epoch 64: PSNR=20.6116, SSIM=0.7392, Loss=0.1383
Epoch 65: PSNR=20.5682, SSIM=0.7409, Loss=0.1399
Epoch 66: PSNR=20.6744, SSIM=0.7431, Loss=0.1373
Epoch 67: PSNR=20.6920, SSIM=0.7450, Loss=0.1402
Epoch 68: PSNR=20.8151, SSIM=0.7478, Loss=0.1401
Epoch 69: PSNR=20.4268, SSIM=0.7471, Loss=0.1382
Epoch 70: PSNR=20.8346, SSIM=0.7522, Loss=0.1391
Epoch 71: PSNR=20.9946, SSIM=0.7542, Loss=0.1405
Epoch 72: PSNR=19.7809, SSIM=0.7468, Loss=0.1408
Epoch 73: PSNR=20.9102, SSIM=0.7575, Loss=0.1410
Epoch 74: PSNR=19.9424, SSIM=0.7523, Loss=0.1397
Epoch 75: PSNR=21.2906, SSIM=0.7595, Loss=0.1397
Epoch 76: PSNR=20.6597, SSIM=0.7602, Loss=0.1400
Epoch 77: PSNR=21.1693, SSIM=0.7641, Loss=0.1443
Epoch 78: PSNR=21.0689, SSIM=0.7661, Loss=0.1397
Epoch 79: PSNR=21.2169, SSIM=0.7673, Loss=0.1416
Epoch 80: PSNR=20.5346, SSIM=0.7641, Loss=0.1428
Epoch 81: PSNR=21.4408, SSIM=0.7633, Loss=0.1417
Epoch 82: PSNR=19.5321, SSIM=0.7579, Loss=0.1427
Epoch 83: PSNR=20.9259, SSIM=0.7710, Loss=0.1438
Epoch 84: PSNR=21.0790, SSIM=0.7733, Loss=0.1420
Epoch 85: PSNR=21.5206, SSIM=0.7681, Loss=0.1453
Epoch 86: PSNR=21.5018, SSIM=0.7758, Loss=0.1429
Epoch 87: PSNR=21.3316, SSIM=0.7773, Loss=0.1448
Epoch 88: PSNR=21.2778, SSIM=0.7762, Loss=0.1448
Epoch 89: PSNR=20.5943, SSIM=0.7737, Loss=0.1457
Epoch 90: PSNR=21.4732, SSIM=0.7801, Loss=0.1440
Epoch 91: PSNR=21.6482, SSIM=0.7793, Loss=0.1453
Epoch 92: PSNR=21.1621, SSIM=0.7805, Loss=0.1441
Epoch 93: PSNR=21.3581, SSIM=0.7815, Loss=0.1488
Epoch 94: PSNR=21.2821, SSIM=0.7831, Loss=0.1448
Epoch 95: PSNR=20.9943, SSIM=0.7810, Loss=0.1444
Epoch 96: PSNR=21.6137, SSIM=0.7716, Loss=0.1449
Epoch 97: PSNR=20.7585, SSIM=0.7806, Loss=0.1465
Epoch 98: PSNR=21.5642, SSIM=0.7862, Loss=0.1466
Epoch 99: PSNR=21.7511, SSIM=0.7856, Loss=0.1459
