Epoch 0: PSNR=9.5092, SSIM=0.0826, Loss=0.5798
Epoch 1: PSNR=10.0497, SSIM=0.0960, Loss=0.5078
Epoch 2: PSNR=10.7605, SSIM=0.1464, Loss=0.4482
Epoch 3: PSNR=11.9608, SSIM=0.1888, Loss=0.3898
Epoch 4: PSNR=13.5712, SSIM=0.3097, Loss=0.3288
Epoch 5: PSNR=15.0911, SSIM=0.4191, Loss=0.2665
Epoch 6: PSNR=17.2509, SSIM=0.5559, Loss=0.2378
Epoch 7: PSNR=16.3957, SSIM=0.4960, Loss=0.2251
Epoch 8: PSNR=17.1826, SSIM=0.6209, Loss=0.2153
Epoch 9: PSNR=16.8923, SSIM=0.5738, Loss=0.2164
Epoch 10: PSNR=16.4886, SSIM=0.6660, Loss=0.2085
Epoch 11: PSNR=16.8230, SSIM=0.6796, Loss=0.2019
Epoch 12: PSNR=18.4062, SSIM=0.7166, Loss=0.1963
Epoch 13: PSNR=17.6536, SSIM=0.7080, Loss=0.1945
Epoch 14: PSNR=19.9280, SSIM=0.7428, Loss=0.1905
Epoch 15: PSNR=15.7191, SSIM=0.5035, Loss=0.1895
Epoch 16: PSNR=18.4394, SSIM=0.7177, Loss=0.1885
Epoch 17: PSNR=19.7005, SSIM=0.7374, Loss=0.1866
Epoch 18: PSNR=19.4709, SSIM=0.7382, Loss=0.1857
Epoch 19: PSNR=16.8055, SSIM=0.6129, Loss=0.1820
Epoch 20: PSNR=19.8533, SSIM=0.7228, Loss=0.1859
Epoch 21: PSNR=18.3331, SSIM=0.7535, Loss=0.1876
Epoch 22: PSNR=20.7346, SSIM=0.7799, Loss=0.1894
Epoch 23: PSNR=20.5001, SSIM=0.7704, Loss=0.1910
Epoch 24: PSNR=15.9245, SSIM=0.7377, Loss=0.1962
Epoch 25: PSNR=17.5909, SSIM=0.6588, Loss=0.2038
Epoch 26: PSNR=20.0492, SSIM=0.7702, Loss=0.2106
Epoch 27: PSNR=18.5202, SSIM=0.7294, Loss=0.2066
Epoch 28: PSNR=17.9191, SSIM=0.7582, Loss=0.2126
Epoch 29: PSNR=20.5461, SSIM=0.7943, Loss=0.2145
Epoch 30: PSNR=20.2040, SSIM=0.7774, Loss=0.2150
Epoch 31: PSNR=16.6866, SSIM=0.7438, Loss=0.2264
Epoch 32: PSNR=20.7018, SSIM=0.7934, Loss=0.2218
Epoch 33: PSNR=19.5738, SSIM=0.7532, Loss=0.2254
Epoch 34: PSNR=21.2281, SSIM=0.7905, Loss=0.2347
Epoch 35: PSNR=18.6192, SSIM=0.7819, Loss=0.2345
Epoch 36: PSNR=19.5171, SSIM=0.7158, Loss=0.2385
Epoch 37: PSNR=15.5188, SSIM=0.7322, Loss=0.2396
Epoch 38: PSNR=19.4098, SSIM=0.7768, Loss=0.2463
Epoch 39: PSNR=17.9252, SSIM=0.7079, Loss=0.2530
Epoch 40: PSNR=22.1164, SSIM=0.8070, Loss=0.2563
Epoch 41: PSNR=18.0565, SSIM=0.7735, Loss=0.2542
Epoch 42: PSNR=20.7432, SSIM=0.8010, Loss=0.2561
Epoch 43: PSNR=22.1727, SSIM=0.8114, Loss=0.2646
Epoch 44: PSNR=21.4812, SSIM=0.7890, Loss=0.2623
Epoch 45: PSNR=20.1705, SSIM=0.7943, Loss=0.2691
Epoch 46: PSNR=21.2563, SSIM=0.7828, Loss=0.2709
Epoch 47: PSNR=20.8914, SSIM=0.7715, Loss=0.2775
Epoch 48: PSNR=19.0093, SSIM=0.6977, Loss=0.2763
Epoch 49: PSNR=21.5879, SSIM=0.8018, Loss=0.2829
Epoch 50: PSNR=22.1330, SSIM=0.8008, Loss=0.2849
Epoch 51: PSNR=18.8040, SSIM=0.7280, Loss=0.2857
Epoch 52: PSNR=22.0641, SSIM=0.8119, Loss=0.2829
Epoch 53: PSNR=20.9729, SSIM=0.7742, Loss=0.2872
Epoch 54: PSNR=18.1500, SSIM=0.7686, Loss=0.2884
Epoch 55: PSNR=17.4045, SSIM=0.7666, Loss=0.2763
Epoch 56: PSNR=17.8508, SSIM=0.6710, Loss=0.2859
Epoch 57: PSNR=22.0711, SSIM=0.8073, Loss=0.2906
Epoch 58: PSNR=21.4943, SSIM=0.8066, Loss=0.2859
Epoch 59: PSNR=20.2471, SSIM=0.7959, Loss=0.2812
Epoch 60: PSNR=18.2266, SSIM=0.7705, Loss=0.2814
Epoch 61: PSNR=21.2692, SSIM=0.7728, Loss=0.2831
Epoch 62: PSNR=21.8066, SSIM=0.8113, Loss=0.2944
Epoch 63: PSNR=19.6664, SSIM=0.7248, Loss=0.2835
Epoch 64: PSNR=18.0818, SSIM=0.6325, Loss=0.2856
Epoch 65: PSNR=19.2823, SSIM=0.7549, Loss=0.2862
Epoch 66: PSNR=21.5596, SSIM=0.8149, Loss=0.2880
Epoch 67: PSNR=21.7545, SSIM=0.8172, Loss=0.2907
Epoch 68: PSNR=22.0767, SSIM=0.8169, Loss=0.2817
Epoch 69: PSNR=21.7751, SSIM=0.8072, Loss=0.2898
Epoch 70: PSNR=21.4557, SSIM=0.7950, Loss=0.2891
Epoch 71: PSNR=20.3869, SSIM=0.7638, Loss=0.2885
Epoch 72: PSNR=21.9769, SSIM=0.8190, Loss=0.2930
Epoch 73: PSNR=22.4782, SSIM=0.8184, Loss=0.2906
Epoch 74: PSNR=21.1315, SSIM=0.8059, Loss=0.2845
Epoch 75: PSNR=21.3371, SSIM=0.7902, Loss=0.2861
Epoch 76: PSNR=19.6968, SSIM=0.7903, Loss=0.2901
Epoch 77: PSNR=16.3165, SSIM=0.7236, Loss=0.2943
Epoch 78: PSNR=21.6772, SSIM=0.8119, Loss=0.2845
Epoch 79: PSNR=20.7910, SSIM=0.7657, Loss=0.2908
Epoch 80: PSNR=20.1934, SSIM=0.7766, Loss=0.2909
Epoch 81: PSNR=21.9446, SSIM=0.8074, Loss=0.2847
Epoch 82: PSNR=20.8249, SSIM=0.7914, Loss=0.2892
Epoch 83: PSNR=22.6447, SSIM=0.8223, Loss=0.2849
Epoch 84: PSNR=20.3187, SSIM=0.7726, Loss=0.2892
Epoch 85: PSNR=22.2055, SSIM=0.8187, Loss=0.2882
Epoch 86: PSNR=21.6175, SSIM=0.8179, Loss=0.2894
Epoch 87: PSNR=22.6201, SSIM=0.8233, Loss=0.2925
Epoch 88: PSNR=20.9655, SSIM=0.7556, Loss=0.2965
Epoch 89: PSNR=21.6410, SSIM=0.8117, Loss=0.2914
Epoch 90: PSNR=21.0966, SSIM=0.8009, Loss=0.2930
Epoch 90: PSNR=22.0147, SSIM=0.8146, Loss=0.2859
Epoch 91: PSNR=22.2864, SSIM=0.8154, Loss=0.2926
Epoch 92: PSNR=22.9338, SSIM=0.8209, Loss=0.2873
Epoch 93: PSNR=21.4300, SSIM=0.7977, Loss=0.2909
Epoch 94: PSNR=22.4769, SSIM=0.8204, Loss=0.2920
Epoch 95: PSNR=19.9672, SSIM=0.7471, Loss=0.2899
