Epoch 0: PSNR=10.3765, SSIM=0.1781, Loss=0.1404
Epoch 1: PSNR=10.9739, SSIM=0.2508, Loss=0.1379
Epoch 2: PSNR=11.1750, SSIM=0.2807, Loss=0.1409
Epoch 3: PSNR=11.2502, SSIM=0.2857, Loss=0.1440
Epoch 4: PSNR=11.3088, SSIM=0.3004, Loss=0.1463
Epoch 5: PSNR=11.4392, SSIM=0.3208, Loss=0.1498
Epoch 6: PSNR=11.4648, SSIM=0.3284, Loss=0.1563
Epoch 7: PSNR=11.6778, SSIM=0.3273, Loss=0.1622
Epoch 8: PSNR=11.7594, SSIM=0.3200, Loss=0.1678
Epoch 9: PSNR=15.6938, SSIM=0.4367, Loss=0.1616
Epoch 10: PSNR=16.7005, SSIM=0.5294, Loss=0.1313
Epoch 11: PSNR=16.5604, SSIM=0.5532, Loss=0.1261
Epoch 12: PSNR=16.9098, SSIM=0.5705, Loss=0.1276
Epoch 13: PSNR=17.4325, SSIM=0.5861, Loss=0.1283
Epoch 14: PSNR=16.9903, SSIM=0.5915, Loss=0.1304
Epoch 15: PSNR=17.9664, SSIM=0.6072, Loss=0.1320
Epoch 16: PSNR=18.1257, SSIM=0.6161, Loss=0.1341
Epoch 17: PSNR=17.7428, SSIM=0.6207, Loss=0.1351
Epoch 18: PSNR=17.0219, SSIM=0.6221, Loss=0.1369
Epoch 19: PSNR=17.6455, SSIM=0.6337, Loss=0.1391
Epoch 20: PSNR=17.8112, SSIM=0.6411, Loss=0.1403
Epoch 21: PSNR=17.9905, SSIM=0.6385, Loss=0.1422
Epoch 22: PSNR=18.3231, SSIM=0.6485, Loss=0.1356
Epoch 23: PSNR=18.1488, SSIM=0.6625, Loss=0.1346
Epoch 24: PSNR=18.2925, SSIM=0.6746, Loss=0.1342
Epoch 25: PSNR=18.8950, SSIM=0.6840, Loss=0.1346
Epoch 26: PSNR=18.2065, SSIM=0.6847, Loss=0.1331
Epoch 27: PSNR=18.4450, SSIM=0.6897, Loss=0.1343
Epoch 28: PSNR=17.6628, SSIM=0.6859, Loss=0.1339
Epoch 29: PSNR=18.6026, SSIM=0.6988, Loss=0.1339
Epoch 30: PSNR=18.8430, SSIM=0.7035, Loss=0.1344
Epoch 31: PSNR=19.4191, SSIM=0.7092, Loss=0.1355
Epoch 32: PSNR=19.3476, SSIM=0.7091, Loss=0.1349
Epoch 33: PSNR=19.7744, SSIM=0.7084, Loss=0.1359
Epoch 34: PSNR=18.9882, SSIM=0.7073, Loss=0.1353
Epoch 35: PSNR=18.8834, SSIM=0.7052, Loss=0.1340
Epoch 36: PSNR=18.8498, SSIM=0.7040, Loss=0.1356
Epoch 37: PSNR=19.4852, SSIM=0.7081, Loss=0.1354
Epoch 38: PSNR=19.8605, SSIM=0.7080, Loss=0.1347
Epoch 39: PSNR=19.7602, SSIM=0.7069, Loss=0.1351
Epoch 40: PSNR=17.3732, SSIM=0.6857, Loss=0.1362
Epoch 41: PSNR=19.7296, SSIM=0.7034, Loss=0.1359
Epoch 42: PSNR=18.4734, SSIM=0.6930, Loss=0.1363
Epoch 43: PSNR=19.1684, SSIM=0.6978, Loss=0.1379
Epoch 44: PSNR=19.5193, SSIM=0.6992, Loss=0.1370
Epoch 45: PSNR=18.3244, SSIM=0.6895, Loss=0.1374
Epoch 46: PSNR=19.3843, SSIM=0.6978, Loss=0.1370
Epoch 47: PSNR=19.9185, SSIM=0.6983, Loss=0.1362
Epoch 48: PSNR=19.7518, SSIM=0.6976, Loss=0.1358
Epoch 49: PSNR=20.0262, SSIM=0.6992, Loss=0.1367
Epoch 50: PSNR=19.9165, SSIM=0.6996, Loss=0.1376
Epoch 51: PSNR=19.9093, SSIM=0.7012, Loss=0.1378
Epoch 52: PSNR=19.6072, SSIM=0.7010, Loss=0.1376
Epoch 53: PSNR=20.0422, SSIM=0.7039, Loss=0.1401
Epoch 54: PSNR=20.0040, SSIM=0.7049, Loss=0.1408
Epoch 55: PSNR=20.1181, SSIM=0.7066, Loss=0.1409
Epoch 56: PSNR=19.5141, SSIM=0.7047, Loss=0.1404
Epoch 57: PSNR=20.3772, SSIM=0.7081, Loss=0.1428
Epoch 58: PSNR=20.1471, SSIM=0.7099, Loss=0.1432
Epoch 59: PSNR=20.0285, SSIM=0.7114, Loss=0.1449
Epoch 60: PSNR=20.1205, SSIM=0.7234, Loss=0.1431
Epoch 61: PSNR=19.8961, SSIM=0.7257, Loss=0.1365
Epoch 62: PSNR=20.5095, SSIM=0.7286, Loss=0.1372
Epoch 63: PSNR=20.6097, SSIM=0.7284, Loss=0.1368
Epoch 64: PSNR=20.0444, SSIM=0.7281, Loss=0.1369
